breed;animal_type
норвежский лундехунд;2
норвежский элкхаунд;2
норвич-терьер;2
нормандская гончая;2
норфолк терьер;2
ньюфаундленд;2
ойразир;2
ойуки терьер;2
орхидея петербургская;2
оттерхаунд, выдровая гончая;2
палевый бретонский бассет-гриффо;2
папильон;2
паттердейл-терьер;2
пекинес;2
пекиньу поденгу португезу;2
пердигейру португезу;2
пердигеро де бургос;2
пердигеро наварро;2
перро де пастор мальоркин;2
перро де преса мальоркин;2
перро де пресса канарио;2
перуанская орхидея инков;2
пикардийская овчарка;2
пинчер;2
пинчер миниатюрный;2
пиринейская овчарка;2
пиринейский мастиф;2
подгальянская овчарка;2
поденгу ди мастра;2
поденгу ибисенко, ибисская собака;2
польская низинная собака;2
польский огар;2
помераниан;2
померанский шпиц;2
понт-одмерский эпаньоль;2
порселен, фарфоровая гончая;2
посавская гончая;2
пражский крысарик;2
пуатвен, пуатвинская гончая;2
пудель;2
пудель миниатюрный;2
пудель стандартный;2
пудель-пойнтер;2
пули;2
пуми;2
пшеничный мягкошерстный терьер;2
рампурская борзая;2
растреадор бразилейру;2
рафейру ду алентежу;2
ретривер;2
Риджбек;2
ризеншнауцер;2
родезийский риджбек;2
ротвейлер;2
румынская овчарка;2
русская гончая;2
русская пегая гончая;2
русский спаниель;2
русский той-терьер;2
русский черный терьер;2
русско-европейская лайка;2
рэт-терьер;2
саарлосвольфхунд;2
сабуесо эспаньоле де монте;2
сабуэсо эспаньоль де монте;2
салюки, персидская гончая;2
самоедская лайка;2
санин;2
сансю;2
сегуджио итальяно;2
сенбернар;2
сен-жерменский брак;2
серис;2
сеттер-гордон;2
сиба-ину;2
сибирская хаски;2
сибирский хаски;2
сийлихам терьер;2
сика ину;2
сикоку;2
силки терьер;2
синсю;2
скай терьер;2
скотч терьер;2
словацкий копов;2
словацкий чувач;2
слюги, арабская борзая;2
смаусхонд;2
смешанная;2
смитфильд-колли;2
смоландстёваре, смоландская гончая;2
солуки;2
спиноне;2
среднеазиатская овчарка;2
средний шнауцер;2
средняя англо-французская гончая;2
стабихаун;2
стародатская легавая;2
стафордширский бультерьер;2
стреллуфстёвер;2
суоменайокойра, финская гончая;2
суоменпастикорва, финский шпиц;2
суссекс-спаниель;2
тазы (среднеазиатская борзая);2
тай риджбек;2
тайган, киргизская борзая;2
такса гладкошерстная;2
такса длинношерстная;2
такса жесткошерстная;2
такса кроличья;2
такса миниатюрная;2
такса стандартная;2
теломиан;2
тибетский мастиф;2
тибетский спаниель;2
тибетский терьер;2
тирольская гончая;2
той-пудель;2
той-терьер;2
тоса ину;2
уест-хайланд-уайт-терьер;2
уипет;2
фален, континентальный той-спаниель;2
фараоновая собака;2
фила бразилейру (бразильский мастиф);2
фильд спаниель;2
финская лайка;2
финский шпиц;2
фландрский бувье;2
фокстерьер гладкошерстный;2
